Name of the initiative,Instrument Type,Jurisdiction Covered,Region,Income group,2017,2018,2019,2020,2021,2022,2023,2024
Nova Scotia OBPS,ETS,Nova Scotia,North America,High income,,,,,19.657779546358935,23.09782608695652,20.87489839651223,58.94488653109343
Ontario CaT,ETS,Ontario,North America,High income,14.064670313849694,11.703609819946273,,,,,,
Ontario EPS,ETS,Ontario,North America,High income,,,,,,31.9693094629156,48.030739673390975,58.94488653109343
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,0.0735017549496304,0.08540478928627128,0.07839652185501066,0.07194053377006007,0.07862432788880998,0.07623040640335414,0.079191316905017,
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,0.0029400701979852163,0.003416191571450851,0.0031358608742004263,0.002877621350802403,0.003144973115552399,0.0030492162561341655,0.00316765267620068,
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,0.07322108405014675,0.08507866592982058,0.07700222129852892,0.07178764001819976,0.07767109940607057,0.07543101036305051,0.077510885288892,
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,0.33560465546420787,0.38995320456027377,0.35289896314558156,0.3289912129133742,0.35596752864203723,0.3457324764099491,0.35529850386435646,
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,14.471925437506101,16.815540573198962,15.21799148287594,14.187293953190983,15.35060388555361,14.909222322705563,15.321730205536475,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,14.169739018354452,13.791420223255379,27.81387335928989,26.170520028602276,25.751393893507938,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,13.236388437375187,12.882989230896888,25.980395243134936,24.445371030438352,24.05387350307791,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,13.794732835039452,13.42642635472209,27.07490515278522,25.47521297808781,25.06722232507283,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,,,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,14.220241430753665,13.840574268420466,28.05639929711027,26.398716577540107,25.975935828877002,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,,,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,15.81347737164475,15.391272298014407,31.036413633631025,29.202659914450066,28.734973450022117,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,7.250836004295381,8.408541535422152,14.17291218382443,25.573997151708596,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,,,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,6.79050161179774,7.874707801324909,13.223794347520405,239.02786869884804,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,7.267672110916264,8.428065780865385,14.150154030077527,25.590852314748233,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,6.737138460342226,7.812824416400895,13.24977492443589,23.881515391218677,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,,,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,6.7982035319855285,7.883639449449782,13.288200842549548,23.97763072362198,,,,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,0.7883741044050865,1.3037947384056796,2.5379692736655954,,,,
Prince Edward Island Carbon tax,Carbon tax,Prince Edward Island,North America,High income,,,14.995863317341861,21.10149662688683,23.875845602865102,23.9769820971867,36.94672282568536,
Quebec CaT,ETS,Quebec,North America,High income,15.08,15.1,15.77,21.752011628177943,17.94,38.58,29.84,38.59
Queretaro carbon tax,Carbon tax,Queretaro,Latin America & Caribbean,Upper middle income,,,,,,,32.200205082725944,36.69819463642235
RGGI,ETS,RGGI,North America,High income,3.94,4.3,4.94,5.13,8.69,13.89,15.3882476,17.64
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,13.386884598941032,5.688278069534874,5.85163676594705,5.577245589137196,5.415651232060655,3.8379705400981994,1.0788133053640996,0.949241924851681
Saskatchewan OBPS,ETS,Saskatchewan,North America,High income,,,,,31.834460803820136,39.9616368286445,48.030739673390975,58.94488653109343
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,4.571166770765597,6.208696450669243,6.090597014925374,5.068904048965118,6.315244848890647,9.276907592627541,8.720972555871006,10.06178043757688
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,5.364953508419179,6.728953373766348,0.5527425373134328,2.384538588988312,1.1200048695863896,0.6416304963200604,8.769017980636237,8.9560902796014
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,,,3.693856332178393,3.5102504667995236,3.7136066547831255,3.685684800235884,3.7678975131876413,18.47882326853426
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,18.495453650080762,21.448532299041062,19.438268895477968,18.91928527426777,20.320580007331667,19.11996,0.0,18.595769999999998
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,,,,7.059867260928299,9.150942751975306,9.835192230198139,8.925614267510202,10.08578223203669
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,,24.795991097157298,16.853990371801704,16.40400457306454,17.619000006356934,16.578,16.3125,16.1235
State of Mexico carbon tax,Carbon tax,State of Mexico,Latin America & Caribbean,Upper middle income,,,,,,,2.3833938419754457,3.5008722000567385
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,127.25819876550447
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,142.94225602355647
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,114.69560258484962
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,135.06812548296767
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,135.95619284840433
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,137.4864721024107
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,83.91650714180533,100.90387466056818,96.46308635394456,99.44064918940109,101.47455208498495,129.85607618223136,130.81157682454898,132.12221304706853
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,6.949158885868494,9.298496661433987,8.033735410558814,19.84884553340809,46.10305001663398,65.59362,93.80775,59.173244999999994
Taiwan carbon fee,Carbon tax,"Taiwan, China",East Asia & Pacific,Upper middle income,,,,,,,,9.121943803297722
Tamaulipas carbon tax,Carbon tax,Tamaulipas,Latin America & Caribbean,Upper middle income,,,,,,14.5470488630866,17.25022863952554,
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,1.2349406101338167,1.3547694050050065,2.075391791044776,2.81527578392953,3.804364366801595,4.4033465433729635,4.603625245686831,4.708857960278081
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,13.386884598941032,5.688278069534874,5.85163676594705,5.577245589137196,4.8740861088545895,4.4189852700491,41.95385076415943,36.91496374423204
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,22.41451148106679,25.45739884822752,23.588994203091683,22.28400260615506,24.795000002293538,23.6538,22.2759,22.6188
UK ETS,ETS,United Kingdom,Europe & Central Asia,High income,,,,,,98.991153,88.12593549999998,45.061676
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,0.013668267454746951,0.015442561205273068,0.3683694470176502,0.38461538461538464,0.3594200398237404,1.0254692376319865,0.8203759509524564,0.7677562834453832
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,High income,,,,,,137.2954108806148,155.86835023804593,167.17381039819526
Washington CCA,ETS,Washington,North America,High income,,,,,,,22.2,25.75
Yucatan carbon tax,Carbon tax,Yucatan,Latin America & Caribbean,Upper middle income,,,,,,,15.52531663110052,17.693830618145384
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,12.604192947729032,13.68294628,13.00938111,11.80235752,12.23091976516634,12.598774391227222,13.856940941717706,15.089966379554907
